YEAR,GENERO,EDAD,REL_LABORAL,FELICIDAD,SALUD,SEGURIDAD,REGION
2002,Mujer,21,Empleado,6,Buena,Seguro,Cataluña
2002,Hombre,49,Autónomo,10,Buena,Seguro,Cataluña
2002,Hombre,30,Empleado,8,Normal,Seguro,Cataluña
2002,Hombre,70,Empleado,7,Buena,Inseguro,Cataluña
2002,Hombre,65,Autónomo,10,Muy buena,Seguro,Cataluña
2002,Hombre,50,Autónomo,10,Buena,Muy seguro,Cataluña
2002,Hombre,37,Autónomo,9,Buena,Muy seguro,Cataluña
2002,Hombre,31,Empleado,7,Muy buena,Muy seguro,Cataluña
2002,Hombre,41,Empleado,9,Buena,Muy seguro,Cataluña
2002,Mujer,67,Empleado,10,Muy buena,Seguro,Cataluña
2002,Hombre,38,Empleado,8,Buena,Seguro,Cataluña
2002,Hombre,22,Empleado,7,Muy buena,Seguro,Cataluña
2002,Hombre,19,Empleado,8,Muy buena,Seguro,Cataluña
2002,Mujer,34,Empleado,8,Buena,Seguro,Cataluña
2002,Mujer,53,Empleado,9,Normal,Seguro,Cataluña
2002,Hombre,44,Empleado,8,Normal,Muy inseguro,Cataluña
2002,Hombre,40,Autónomo,10,Buena,Seguro,Cataluña
2002,Mujer,28,Empleado,10,Muy buena,Inseguro,Cataluña
2002,Mujer,70,Empleado,7,Normal,Seguro,Cataluña
2002,Mujer,53,Empleado,10,Normal,Seguro,Cataluña
2002,Hombre,35,Empleado,10,Buena,Seguro,Cataluña
2002,Mujer,67,Empleado,9,Normal,Inseguro,Cataluña
2002,Hombre,54,Autónomo,8,Muy buena,Muy seguro,Cataluña
2002,Mujer,69,Autónomo,6,Mala,Seguro,Cataluña
2002,Mujer,56,Empleado,8,Normal,Seguro,Cataluña
2002,Hombre,19,Empleado,8,Buena,Seguro,Cataluña
2002,Mujer,59,Empleado,2,Normal,Seguro,Cataluña
2002,Mujer,27,Empleado,6,Buena,Seguro,Cataluña
2002,Hombre,44,Empleado,5,Normal,Seguro,Cataluña
2002,Hombre,50,Empleado,9,Buena,Seguro,Cataluña
2002,Mujer,49,Empleado,7,Buena,Seguro,Cataluña
2002,Hombre,63,Empleado,8,Buena,Muy seguro,Cataluña
2002,Mujer,42,Empleado,3,Normal,Muy inseguro,Cataluña
2002,Mujer,34,Autónomo,10,Buena,Inseguro,Cataluña
2002,Hombre,52,Empleado,6,Normal,Muy seguro,Cataluña
2002,Hombre,27,Empleado,6,Buena,Seguro,Cataluña
2002,Mujer,67,Empleado,10,Normal,Seguro,Cataluña
2002,Mujer,37,Empleado,10,Buena,Inseguro,Cataluña
2002,Hombre,23,Empleado,10,Buena,Seguro,Cataluña
2002,Mujer,19,Empleado,6,Buena,Seguro,Cataluña
2002,Hombre,39,Empleado,10,Buena,Seguro,Cataluña
2002,Hombre,28,Autónomo,10,Buena,Seguro,Cataluña
2002,Mujer,48,Autónomo,9,Buena,Seguro,Cataluña
2002,Hombre,30,Empleado,9,Muy buena,Inseguro,Cataluña
2002,Hombre,64,Empleado,6,Normal,Inseguro,Cataluña
2002,Hombre,57,Empleado,7,Buena,Seguro,Cataluña
2002,Hombre,28,Empleado,8,Muy buena,Seguro,Cataluña
2002,Hombre,42,Autónomo,10,Buena,Muy seguro,Cataluña
2002,Hombre,35,Empleado,9,Buena,Seguro,Cataluña
2002,Mujer,32,Empleado,9,Buena,Seguro,Cataluña
2002,Hombre,66,Empleado,10,Muy mala,Muy seguro,Cataluña
2002,Mujer,49,Empleado,7,Buena,Seguro,Castilla y León
2002,Mujer,70,Autónomo,8,Buena,Seguro,Castilla y León
2002,Mujer,35,Empleado,8,Buena,Seguro,Castilla y León
2002,Mujer,47,Empleado,10,Buena,Muy seguro,Castilla y León
2002,Mujer,45,Empleado,4,Buena,Muy seguro,Castilla y León
2002,Mujer,48,Empleado,8,Normal,Seguro,Castilla y León
2002,Hombre,66,Empleado,7,Normal,Inseguro,Castilla y León
2002,Hombre,41,Empleado,6,Normal,Muy seguro,Castilla y León
2002,Mujer,45,Empleado,10,Buena,Seguro,Castilla y León
2002,Mujer,37,Empleado,5,Buena,Seguro,Castilla y León
2002,Mujer,32,Empleado,10,Muy buena,Muy seguro,Castilla y León
2002,Mujer,42,Empleado,8,Buena,Seguro,Castilla y León
2002,Mujer,35,Empleado,5,Buena,Seguro,Castilla y León
2002,Mujer,49,Empleado,7,Normal,Muy seguro,Castilla y León
2002,Hombre,35,Empleado,7,Buena,Muy seguro,Castilla y León
2002,Mujer,50,Empleado,6,Buena,Seguro,Castilla y León
2002,Hombre,26,Empleado,8,Buena,Seguro,Castilla y León
2002,Mujer,38,Empleado,7,Buena,Seguro,Castilla y León
2002,Hombre,67,Empleado,8,Buena,Seguro,Castilla y León
2002,Mujer,34,Empleado,8,Buena,Seguro,Castilla y León
2002,Hombre,68,Empleado,4,Normal,Seguro,Castilla y León
2002,Hombre,54,Empleado,10,Buena,Seguro,Castilla y León
2002,Hombre,66,Empleado,10,Buena,Seguro,Castilla y León
2002,Hombre,70,Empleado,5,Normal,Muy seguro,Castilla y León
2002,Hombre,70,Autónomo,9,Buena,Muy seguro,Castilla y León
2002,Hombre,64,Empleado,10,Muy buena,Muy seguro,Extremadura
2002,Hombre,62,Empleado,10,Buena,Muy seguro,Extremadura
2002,Hombre,66,Empleado,10,Muy buena,Muy seguro,Extremadura
2002,Hombre,43,Empleado,8,Normal,Muy seguro,Extremadura
2002,Hombre,39,Empleado,8,Buena,Muy seguro,Extremadura
2002,Hombre,60,Empleado,8,Buena,Muy seguro,Extremadura
2002,Hombre,40,Empleado,7,Normal,Seguro,Extremadura
2002,Mujer,51,Empleado,7,Buena,Seguro,Extremadura
2002,Mujer,38,Empleado,8,Normal,Inseguro,Extremadura
2002,Hombre,43,Empleado,8,Buena,Seguro,Extremadura
2002,Mujer,60,Empleado,7,Normal,Seguro,Extremadura
2002,Mujer,24,Empleado,9,Muy buena,Inseguro,Andalucía
2002,Hombre,49,Empleado,9,Buena,Muy seguro,Andalucía
2002,Hombre,66,Empleado,9,Mala,Muy seguro,Andalucía
2002,Hombre,32,Empleado,5,Normal,Seguro,Andalucía
2002,Hombre,42,Autónomo,7,Buena,Seguro,Andalucía
2002,Hombre,61,Empleado,6,Buena,Seguro,Andalucía
2002,Hombre,44,Empleado,8,Muy buena,Seguro,Andalucía
2002,Hombre,50,Empleado,5,Buena,Seguro,Andalucía
2002,Mujer,53,Empleado,10,Buena,Inseguro,Andalucía
2002,Mujer,54,Empleado,5,Mala,Inseguro,Andalucía
2002,Mujer,51,Autónomo,7,Buena,Seguro,Andalucía
2002,Hombre,24,Empleado,8,Buena,Muy seguro,Andalucía
2002,Mujer,60,Empleado,9,Buena,Seguro,Andalucía
2002,Mujer,40,Autónomo,8,Buena,Muy seguro,Andalucía
2002,Mujer,36,Empleado,10,Buena,Seguro,Andalucía
2002,Hombre,62,Autónomo,8,Buena,Seguro,Andalucía
2002,Hombre,28,Empleado,10,Muy buena,Muy seguro,Andalucía
2002,Hombre,30,Empleado,8,Buena,Seguro,Andalucía
2002,Hombre,40,Autónomo,9,Muy buena,Seguro,Andalucía
2002,Hombre,68,Empleado,9,Buena,Muy seguro,Andalucía
2002,Hombre,59,Autónomo,8,Buena,Seguro,Andalucía
2002,Hombre,46,Autónomo,10,Buena,Seguro,Andalucía
2002,Hombre,34,Empleado,3,Muy buena,Seguro,Comunidad Valenciana
2002,Hombre,67,Empleado,8,Muy buena,Muy seguro,Comunidad Valenciana
2002,Mujer,37,Autónomo,8,Muy buena,Muy seguro,Comunidad Valenciana
2002,Hombre,17,Negocio familiar,9,Buena,Seguro,Castilla-La Mancha
2002,Hombre,53,Empleado,6,Mala,Seguro,Castilla-La Mancha
2002,Hombre,58,Empleado,2,Mala,Seguro,Castilla-La Mancha
2002,Mujer,37,Autónomo,8,Normal,Seguro,Castilla-La Mancha
2002,Mujer,38,Autónomo,9,Normal,Seguro,Castilla-La Mancha
2002,Mujer,56,Autónomo,7,Muy buena,Seguro,Castilla-La Mancha
2002,Hombre,28,Empleado,7,Muy buena,Seguro,Castilla-La Mancha
2002,Hombre,67,Empleado,9,Normal,Seguro,Castilla-La Mancha
2002,Hombre,26,Empleado,6,Buena,Seguro,Castilla-La Mancha
2002,Hombre,42,Empleado,8,Normal,Inseguro,Castilla-La Mancha
2002,Hombre,24,Empleado,9,Normal,Seguro,Castilla-La Mancha
2002,Hombre,62,Empleado,10,Buena,Muy seguro,Castilla-La Mancha
2002,Mujer,25,Empleado,8,Buena,Seguro,Castilla-La Mancha
2002,Hombre,68,Autónomo,9,Muy buena,Muy seguro,Andalucía
2002,Hombre,70,Empleado,8,Muy buena,Muy seguro,Andalucía
2002,Mujer,35,Empleado,6,Buena,Inseguro,Andalucía
2002,Mujer,37,Empleado,8,Buena,Seguro,Andalucía
2002,Hombre,30,Empleado,8,Muy buena,Muy seguro,Andalucía
2002,Hombre,42,Autónomo,8,Muy buena,Muy seguro,Andalucía
2002,Hombre,48,Empleado,9,Buena,Seguro,Andalucía
2002,Mujer,57,Empleado,8,Muy buena,Muy seguro,Andalucía
